timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,noise
0.005,-2,-2,-2,-3,-4,-2,0,-1,0.0
0.01,-1,-1,-1,1,1,-2,-3,4,0.0
0.015,-1,1,-1,0,4,1,-1,-1,0.0
0.02,-2,-4,-3,0,-12,-10,-6,-7,0.0
0.025,1,0,-1,5,4,9,2,0,0.0
0.03,-3,-1,-1,-3,8,-7,-1,2,0.0
0.035,-2,-2,-2,-3,-9,-3,-4,-4,0.0
0.04,-1,0,-3,-2,4,-2,-1,-3,0.0
0.045,0,-1,0,0,7,-4,3,1,0.0
0.05,0,-2,-2,-4,12,4,-3,0,0.0
0.055,1,-1,-3,1,-8,-10,-6,-3,0.0
0.06,-3,-2,-2,-5,-12,5,0,-1,0.0
0.065,-2,-1,0,1,8,1,0,-1,0.0
0.07,-1,-3,0,-1,-1,2,1,0,0.0
0.075,-1,-4,1,-1,14,1,2,1,0.0
0.08,-3,5,-1,2,-13,-5,-4,-5,0.0
0.085,1,0,-2,-7,-19,-8,-3,-2,0.0
0.09,-2,-3,-1,-3,11,10,0,-1,0.0
0.095,-1,-2,-1,-3,-15,-22,-6,-3,0.0
0.1,-6,-15,-3,1,7,3,1,1,0.0
0.105,9,16,2,-2,7,7,1,0,0.0
0.11,-1,3,0,-3,-13,-1,-3,-1,0.0
0.115,-3,-3,-3,-2,-4,4,-1,-2,0.0
0.12,-2,-4,-3,0,-2,-16,-1,1,0.0
0.125,-7,-7,-7,-2,13,-1,-6,-3,0.0
0.13,0,-2,-2,-4,-23,-7,1,-1,0.0
0.135,-3,-2,-1,-1,10,1,1,0,0.0
0.14,-2,-1,-3,-10,-32,-10,-3,-3,0.0
0.145,1,0,1,2,5,4,1,-2,0.0
0.15,-1,0,0,1,4,-2,-2,-2,0.0
0.155,-2,-4,-2,1,-9,-2,-2,0,0.0
0.16,-1,-4,0,1,17,-1,-1,0,0.0
0.165,-1,-1,-3,-9,-31,-3,-2,0,0.0
0.17,1,0,-4,-2,-9,-3,-3,-1,0.0
0.17500000000000002,-2,-4,-1,-3,4,13,-2,-3,0.0
0.18,1,2,0,0,-1,-15,-3,-1,0.0
0.185,-1,-3,-1,-1,12,14,-1,-1,0.0
0.19,-1,1,-2,-2,-8,-5,-3,-2,0.0
0.195,-2,-3,1,-2,-4,3,2,-1,0.0
0.2,0,0,-1,1,4,9,3,1,0.0
0.20500000000000002,-1,-3,-2,2,5,-1,-1,-2,0.0
0.21,1,1,1,0,7,-5,1,2,0.0
0.215,-2,0,-1,-1,-11,17,0,0,0.0
0.22,-1,-2,0,0,8,-11,-3,0,0.0
0.225,-2,-4,0,-3,-1,-9,-3,-2,0.0
0.23,-3,-1,0,0,-3,13,3,0,0.0
0.23500000000000001,-1,0,-1,-1,-1,1,-3,-3,0.0
0.24,0,-2,1,-2,-8,-3,0,2,0.0
0.245,-2,-1,-4,-5,-7,-10,-5,-2,0.0
0.25,0,0,-1,1,4,6,-3,-1,0.0
0.255,0,-2,-3,-5,-20,-13,-3,-2,0.0
0.26,1,0,-2,3,13,-7,2,0,0.0
0.265,1,0,0,-2,1,-8,-3,-3,0.0
0.27,-3,0,0,-2,-6,-15,0,-2,0.0
0.275,-1,1,-1,2,5,17,2,-1,0.0
0.28,-1,-2,-1,-3,-2,-12,-2,-1,0.0
0.28500000000000003,0,-2,-2,-1,-4,-4,-4,-2,0.0
0.29,0,-2,-1,0,-4,7,1,1,0.0
0.295,1,-1,1,1,2,4,2,2,0.0
