timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,noise
0.005,-1,1,3,1,-1,-1,-1,-2,0.0
0.01,-3,-4,-6,-4,-2,-2,0,-1,0.0
0.015,-4,-3,-2,-3,1,0,0,-1,0.0
0.02,-1,2,6,10,4,1,0,-1,0.0
0.025,2,0,-1,-9,-14,-5,-1,0,0.0
0.03,-1,-2,0,-1,3,2,2,0,0.0
0.035,0,-2,-1,-3,-4,-7,-5,-1,0.0
0.04,-2,-5,-5,-6,-2,-4,2,-1,0.0
0.045,0,1,1,5,5,1,-6,-2,0.0
0.05,0,-1,-2,-2,-3,1,1,-2,0.0
0.055,-1,-1,-3,-4,-2,1,-1,0,0.0
0.06,-1,-2,-2,-5,-1,0,1,-1,0.0
0.065,0,1,0,2,0,1,-1,-1,0.0
0.07,2,1,3,4,1,0,1,0,0.0
0.075,-1,0,0,3,-1,2,1,-1,0.0
0.08,-1,-2,-2,-1,-3,-7,-5,-3,0.0
0.085,-4,-5,-6,-6,-2,-3,3,-1,0.0
0.09,-2,-1,1,-3,-2,-6,-3,-1,0.0
0.095,0,-1,-1,0,0,5,4,-1,0.0
0.1,-1,-1,-3,-1,-4,-3,-3,-1,0.0
0.105,2,-2,-3,-1,2,-1,2,0,0.0
0.11,0,1,1,2,2,2,0,0,0.0
0.115,-1,-2,-4,-5,-9,-20,-7,-2,0.0
0.12,-3,-3,-6,-6,0,2,-1,1,0.0
0.125,-1,2,6,7,5,-6,-2,-3,0.0
0.13,0,0,0,0,-1,5,-2,1,0.0
0.135,1,0,0,4,4,7,0,0,0.0
0.14,-1,-2,-4,-3,-4,-6,-2,-1,0.0
0.145,-1,-2,-4,-5,3,3,-4,1,0.0
0.15,-4,-3,-2,-6,-9,-8,-7,-4,0.0
0.155,-2,-3,-3,-5,-1,-6,-1,-1,0.0
0.16,0,1,-1,-3,-4,-4,-1,-3,0.0
0.165,0,1,0,-2,1,1,3,1,0.0
0.17,0,2,2,5,3,-2,-4,-1,0.0
0.17500000000000002,-1,-2,0,2,3,7,0,-1,0.0
0.18,-1,-2,-3,-2,-4,-4,-2,-3,0.0
0.185,-3,-3,-5,-4,-5,-7,-4,-3,0.0
0.19,-2,-4,-7,-6,-4,3,0,-2,0.0
0.195,2,3,2,2,1,-1,-1,-1,0.0
0.2,-2,0,-1,0,5,5,1,-1,0.0
0.20500000000000002,-2,-1,-1,0,0,0,-1,-1,0.0
0.21,-2,-3,0,-4,-6,-5,-1,-1,0.0
0.215,-1,0,3,2,1,2,1,2,0.0
0.22,1,0,0,-1,-3,-3,-3,0,0.0
0.225,1,3,-1,3,2,2,-2,1,0.0
0.23,-2,-2,-3,-2,-2,3,1,-2,0.0
0.23500000000000001,-1,-3,-2,-5,-4,-4,0,-2,0.0
0.24,-2,-3,-1,-2,-2,-1,-2,-1,0.0
0.245,-3,-2,0,-2,0,-1,-1,-1,0.0
0.25,1,-2,-1,-2,3,0,-3,1,0.0
0.255,0,1,1,4,-1,-6,-1,-5,0.0
0.26,-2,-2,-2,-2,-1,-2,-4,0,0.0
0.265,-1,-3,0,0,-1,-1,-2,-3,0.0
0.27,-1,0,0,3,5,11,3,0,0.0
0.275,-1,1,-1,-1,-2,-7,-1,0,0.0
0.28,-3,-4,-3,-5,-8,1,-2,-4,0.0
0.28500000000000003,0,1,3,4,2,-10,1,0,0.0
0.29,0,-1,1,-1,2,3,0,-1,0.0
0.295,-1,-2,-1,-1,3,0,-2,0,0.0
0.3,-1,-2,-1,0,1,5,3,0,0.0
0.305,-1,-2,-2,-6,-12,-14,-1,-2,0.0
0.31,0,1,-2,-1,-3,-5,-4,-1,0.0
0.315,-3,-2,-3,-1,-2,-11,-3,-1,0.0
0.32,0,-1,-3,-1,2,4,-1,-3,0.0
0.325,0,0,1,1,-1,0,-3,-2,0.0
0.33,-2,-1,-1,0,-2,2,1,0,0.0
0.335,-3,-3,-4,-4,-6,-7,-4,-2,0.0
0.34,-3,2,0,1,-3,-16,1,-1,0.0
0.34500000000000003,0,0,0,2,5,11,-2,-1,0.0
0.35000000000000003,1,1,-1,-3,-2,1,-1,1,0.0
0.355,-2,-4,-4,-5,-5,-1,-4,-2,0.0
0.36,0,-1,1,2,4,3,-2,1,0.0
0.365,-3,-2,-5,-5,-1,0,0,-1,0.0
0.37,-5,-1,0,0,3,3,0,-3,0.0
0.375,6,1,0,-1,2,3,1,3,0.0
0.38,-2,-2,0,-1,-4,-4,-3,-1,0.0
0.385,0,-1,-1,-1,0,4,1,-2,0.0
0.39,-2,-4,-2,-2,-5,-12,-5,-5,0.0
0.395,-2,-2,-2,-5,-2,-4,-1,0,0.0
0.4,2,0,3,3,0,-6,2,-1,0.0
0.405,-1,-1,-3,-3,2,2,-4,-2,0.0
0.41000000000000003,0,-2,0,1,-3,-6,-2,0,0.0
0.41500000000000004,-3,-2,-1,-1,2,8,2,0,0.0
0.42,0,-3,-3,-3,-4,2,-1,0,0.0
0.425,-2,-3,-2,-5,-4,-10,-1,-1,0.0
0.43,-1,0,-1,0,0,3,-3,-1,0.0
0.435,-1,-2,-2,0,1,2,2,-1,0.0
0.44,-1,-2,-2,-1,-1,2,-2,-2,0.0
0.445,-1,0,0,5,0,5,0,-1,0.0
0.45,-1,-1,1,1,1,-6,-1,0,0.0
0.455,-1,-2,0,0,2,3,0,-3,0.0
0.46,-2,-3,-4,-5,-1,-2,-2,-2,0.0
0.465,-1,-3,-3,-4,-6,-4,-2,-1,0.0
0.47000000000000003,-4,-1,0,-1,2,6,0,-1,0.0
0.47500000000000003,4,1,1,0,-4,-1,-1,1,0.0
0.48,1,0,1,2,0,-10,-4,0,0.0
0.485,-1,0,2,1,0,-4,0,-1,0.0
0.49,-3,-1,-3,-6,-5,-8,-4,-3,0.0
0.495,-4,0,-4,1,-1,-7,-2,-2,0.0
0.5,-1,1,-2,1,1,2,3,1,0.0
0.505,-2,-2,-2,-1,5,15,4,2,0.0
0.51,2,-1,0,1,2,9,2,1,0.0
0.515,-4,-4,-6,-7,-5,-5,-6,-5,0.0
0.52,0,-1,-1,-2,-7,-17,-3,-1,0.0
0.525,-1,0,2,0,0,-3,-3,-3,0.0
0.53,0,-1,-1,3,0,1,3,1,0.0
0.535,-1,0,2,-2,0,8,-4,0,0.0
0.54,-3,-1,-4,-4,2,5,-1,-1,0.0
0.545,-1,-3,-2,-3,4,15,1,-1,0.0
0.55,0,1,1,3,-9,-37,-8,-2,0.0
0.555,-1,-1,-1,-1,-5,-2,3,-2,0.0
0.56,-1,-2,-2,-4,-1,0,-2,-3,0.0
0.5650000000000001,1,-1,1,2,1,0,0,0,0.0
0.5700000000000001,1,-2,0,-2,3,3,3,0,0.0
0.5750000000000001,-2,-1,-4,4,2,3,-1,-1,0.0
