timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,noise
0.005,-3,6,-2,2,-8,-5,4,-5,0.0
0.01,-1,3,-3,5,0,-2,-4,0,0.0
0.015,-1,16,-1,0,2,0,-1,1,0.0
0.02,0,-1,-2,3,-5,1,0,-3,0.0
0.025,3,8,1,-6,1,0,-4,1,0.0
0.03,3,-3,-3,0,3,0,2,1,0.0
0.035,1,-8,-4,-5,-1,-3,0,-2,0.0
0.04,-5,-9,-2,1,-2,5,2,-2,0.0
0.045,-3,2,-1,-2,-2,2,-1,-3,0.0
0.05,-2,1,1,4,-2,-2,-3,-5,0.0
0.055,1,4,-6,-10,0,0,2,1,0.0
0.06,-3,-3,1,3,-1,-2,-1,-4,0.0
0.065,-1,-1,-4,-6,0,0,0,2,0.0
0.07,-2,5,3,3,-2,4,-3,-2,0.0
0.075,3,8,0,-2,5,-5,-7,0,0.0
0.08,1,7,1,4,-5,2,1,-3,0.0
0.085,-6,-1,-1,-2,-1,-1,0,3,0.0
0.09,3,2,1,2,0,5,-2,-3,0.0
0.095,-1,-2,0,0,-2,1,3,1,0.0
0.1,-1,-4,-2,-4,4,0,-1,1,0.0
0.105,-4,-11,-2,2,-2,-3,-4,-3,0.0
0.11,0,3,-2,-2,-3,0,2,1,0.0
0.115,-5,0,0,-1,-4,-2,-4,-1,0.0
0.12,-2,-5,3,4,-2,0,2,-2,0.0
0.125,-2,-4,3,-3,-2,-6,-1,-1,0.0
0.13,-3,-3,0,0,0,2,0,1,0.0
0.135,0,-2,-2,-4,2,1,0,-4,0.0
0.14,-2,-2,-1,1,-5,-4,-3,2,0.0
0.145,2,4,-1,-2,3,1,-2,0,0.0
0.15,-2,-2,-1,-3,-4,-4,-1,-3,0.0
0.155,0,-10,-1,2,-1,-1,0,-3,0.0
0.16,0,0,-4,-2,1,4,-1,-1,0.0
0.165,1,-2,-2,3,0,-2,1,0,0.0
0.17,3,25,2,4,-2,2,0,2,0.0
0.17500000000000002,0,4,0,-2,-1,-1,0,-4,0.0
0.18,1,-16,-6,-2,0,-7,3,0,0.0
0.185,-3,5,0,-2,-1,1,-5,-6,0.0
0.19,5,11,-1,2,-3,2,-2,2,0.0
0.195,-2,6,-3,-4,-4,1,-1,5,0.0
0.2,-2,-11,-1,-3,0,1,2,0,0.0
0.20500000000000002,-5,-1,-2,-2,-3,-1,0,-7,0.0
0.21,3,8,1,5,1,-4,-7,-2,0.0
0.215,0,3,0,-1,1,-1,1,-1,0.0
0.22,-7,-37,-4,1,-3,-3,0,-6,0.0
0.225,-3,-9,-3,-6,-2,-1,2,1,0.0
0.23,-1,3,0,-4,-2,6,3,-1,0.0
0.23500000000000001,-2,-4,-1,-4,-2,-3,-2,-3,0.0
0.24,0,-9,-3,2,-4,1,-4,1,0.0
0.245,3,11,6,9,-1,-1,0,3,0.0
0.25,1,24,-1,-2,1,-2,-1,0,0.0
0.255,-3,2,-3,-3,-2,-1,-4,0,0.0
0.26,-7,-11,1,-1,-2,-8,-4,-3,0.0
0.265,-2,-6,0,1,3,1,-1,0,0.0
0.27,-4,4,-1,3,-4,0,0,-1,0.0
0.275,1,-2,1,-1,-3,-4,1,1,0.0
0.28,-4,-1,-1,-2,1,3,-2,-3,0.0
0.28500000000000003,1,-5,-3,-5,-3,-2,0,-3,0.0
0.29,-3,2,-1,-2,-1,-1,0,-1,0.0
0.295,3,8,3,4,0,-4,-7,1,0.0
0.3,-1,-5,-6,-7,-5,-2,-2,0,0.0
0.305,-1,-7,1,-2,-2,0,0,0,0.0
0.31,0,5,-1,-12,0,4,-3,-3,0.0
0.315,-3,-7,-5,-1,-1,3,0,-2,0.0
0.32,-4,-12,-5,-2,1,-3,-4,-4,0.0
0.325,0,2,-3,0,-5,2,-1,-1,0.0
0.33,-2,-8,-5,-7,-1,-5,-1,-2,0.0
0.335,1,1,2,13,3,-2,3,-2,0.0
0.34,-2,2,2,2,2,1,-3,0,0.0
0.34500000000000003,-2,0,-5,-3,-3,5,4,3,0.0
0.35000000000000003,2,18,2,10,4,-4,-2,0,0.0
0.355,-3,-4,-2,-7,-3,-1,2,-3,0.0
0.36,-4,0,2,4,-2,5,2,-1,0.0
0.365,3,7,1,-2,3,-1,-7,-2,0.0
0.37,-1,1,-2,0,-2,3,3,0,0.0
0.375,-5,-8,-3,-4,0,-2,1,-2,0.0
0.38,-2,-16,-4,-2,-3,-4,-2,0,0.0
0.385,-3,-1,0,-2,3,-1,0,-1,0.0
0.39,1,-3,0,1,-6,-4,-1,-3,0.0
0.395,-1,0,-4,-6,-4,3,1,0,0.0
0.4,2,-5,2,0,-6,2,2,0,0.0
0.405,-4,-3,-4,1,1,-3,-2,1,0.0
0.41000000000000003,-2,2,-1,2,-4,3,1,0,0.0
0.41500000000000004,4,12,-1,2,-2,3,-5,-3,0.0
0.42,-5,-11,-5,-4,-1,1,2,-6,0.0
0.425,4,-2,-2,-3,-5,4,1,-2,0.0
0.43,2,12,2,2,-2,-1,2,0,0.0
0.435,-3,-9,-5,-9,0,-4,-2,-2,0.0
0.44,1,4,-2,-7,1,2,1,-3,0.0
0.445,-1,-2,-1,-1,0,-4,0,-5,0.0
0.45,-2,2,-1,0,1,1,2,-1,0.0
0.455,-3,-8,2,-2,1,-5,-2,0,0.0
0.46,-2,-5,0,0,1,-3,-1,1,0.0
0.465,-1,0,0,-4,1,-1,0,-5,0.0
0.47000000000000003,5,-4,-2,-2,3,-5,-2,-4,0.0
0.47500000000000003,1,2,1,7,-3,-2,-3,1,0.0
0.48,0,5,2,2,-4,5,3,2,0.0
0.485,-3,1,-4,3,-2,-1,-6,4,0.0
0.49,-3,-4,-1,-1,-3,5,0,0,0.0
0.495,-3,-8,-2,2,0,4,-1,-2,0.0
0.5,4,15,3,9,0,-1,0,-2,0.0
0.505,2,8,-1,-23,-4,2,-2,-1,0.0
0.51,-6,-5,-1,-2,2,-2,0,1,0.0
0.515,-2,-5,0,2,-1,-2,0,0,0.0
0.52,1,4,3,4,2,1,-5,-1,0.0
0.525,-5,-20,-3,0,-3,-1,-1,1,0.0
0.53,-4,-24,-4,-9,1,-8,-5,-5,0.0
0.535,-5,-12,-3,-1,0,2,4,0,0.0
0.54,-3,-1,0,-7,-5,2,-2,1,0.0
0.545,1,1,1,5,0,0,1,-1,0.0
0.55,-1,5,-1,-2,-1,-1,-2,-1,0.0
0.555,1,-2,2,1,0,1,2,1,0.0
0.56,1,-5,-3,-2,-6,1,0,0,0.0
0.5650000000000001,-2,-4,2,2,-2,1,-2,-1,0.0
0.5700000000000001,1,3,-2,1,-2,-1,-2,-4,0.0
0.5750000000000001,-5,-4,0,-3,-2,1,-5,-2,0.0
0.58,-2,-14,-2,-6,0,1,-2,-4,0.0
0.585,1,14,0,4,0,-1,1,-1,0.0
0.59,1,8,2,1,-5,3,-1,-2,0.0
0.595,0,-6,0,-3,3,-2,1,-3,0.0
0.6,-2,-4,-1,4,-3,1,1,1,0.0
0.605,-3,-3,-3,-5,3,-2,-8,-3,0.0
0.61,-1,2,2,0,1,-1,1,-1,0.0
0.615,-3,2,1,3,0,-2,-5,-3,0.0
0.62,1,2,1,-5,-1,0,-3,-2,0.0
0.625,-1,-2,2,11,-3,-2,-2,-2,0.0
0.63,-5,-9,-2,-7,4,-3,1,2,0.0
0.635,8,28,1,4,-4,-2,3,0,0.0
0.64,-2,-3,-1,-1,0,2,-7,-3,0.0
0.645,-4,-2,0,-2,0,0,2,-1,0.0
0.65,2,-1,-2,0,1,-2,-3,-2,0.0
0.655,4,4,-3,0,-1,3,1,-1,0.0
0.66,0,1,4,-1,-2,-2,1,1,0.0
0.665,-1,7,0,-1,-3,-1,-1,2,0.0
0.67,0,2,2,-3,-2,4,-2,4,0.0
0.675,0,-6,-6,3,2,0,-2,-1,0.0
0.68,2,10,-1,-14,-1,0,-2,2,0.0
0.685,-1,0,2,2,-1,2,1,-1,0.0
0.6900000000000001,0,-5,-1,-3,-2,-4,-4,-1,0.0
0.6950000000000001,-6,-15,-2,-4,-2,-1,-2,-7,0.0
0.7000000000000001,0,5,1,4,0,-2,-3,-4,0.0
0.705,-1,0,-5,0,-2,-4,3,-2,0.0
0.71,-6,-6,0,0,0,-3,-2,-2,0.0
0.715,0,1,-1,-2,-1,2,-4,3,0.0
0.72,-2,-2,-1,1,-3,3,0,-1,0.0
