timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,noise
0.005,-2,0,-1,-9,-4,-1,8,5,0.0
0.01,-1,-1,3,9,1,3,14,-3,0.0
0.015,1,-1,-8,-6,-1,-10,-8,2,0.0
0.02,0,-1,-4,-11,-8,-8,-8,-1,0.0
0.025,-3,-5,-5,-2,-1,-9,-6,-3,0.0
0.03,4,0,-3,-8,-2,3,-9,3,0.0
0.035,-9,-3,6,1,2,6,13,-4,0.0
0.04,0,-2,-2,2,-3,-26,3,-5,0.0
0.045,0,-1,-5,-9,-2,-4,-28,-3,0.0
0.05,-1,-5,-3,-6,-4,8,16,-3,0.0
0.055,1,-1,-6,-9,-4,-3,-11,-3,0.0
0.06,-3,-3,2,15,9,15,-8,-3,0.0
0.065,2,3,4,-3,1,6,6,0,0.0
0.07,-3,1,0,2,-4,-13,-11,-2,0.0
0.075,2,0,0,1,-2,2,-5,1,0.0
0.08,-4,-3,-1,0,1,2,-2,-3,0.0
0.085,0,-2,-4,-5,2,5,-1,-1,0.0
0.09,-4,-1,-3,-3,3,9,-11,0,0.0
0.095,3,2,1,1,-5,-9,11,-1,0.0
0.1,3,0,0,-1,5,5,-1,2,0.0
0.105,-1,0,7,11,1,12,3,-1,0.0
0.11,2,-2,-2,-3,-1,0,5,2,0.0
0.115,-4,-3,0,11,-4,3,-26,-5,0.0
0.12,-1,-3,-8,-9,-7,-10,25,4,0.0
0.125,-2,1,2,-2,1,0,11,3,0.0
0.13,1,-1,0,0,1,0,-23,-4,0.0
0.135,-1,-1,-4,-7,1,1,-7,-1,0.0
0.14,0,1,3,4,-1,-1,-6,-1,0.0
0.145,2,0,0,3,4,2,13,7,0.0
0.15,-1,-1,1,-1,-5,-6,1,0,0.0
0.155,0,-1,-2,-3,0,3,11,1,0.0
0.16,-3,-2,-9,-10,-6,-6,-4,-2,0.0
0.165,0,2,5,2,-2,-2,-3,-3,0.0
0.17,-3,-3,-2,0,3,1,-5,-3,0.0
0.17500000000000002,-1,-3,-7,-9,-1,-4,-6,-4,0.0
0.18,2,1,3,10,-2,-1,6,2,0.0
0.185,-8,-7,-9,-3,-6,-6,-1,1,0.0
0.19,0,0,4,-3,1,6,5,-3,0.0
0.195,0,-1,0,5,4,13,-12,-5,0.0
0.2,-3,-3,-2,1,0,-13,-2,-4,0.0
0.20500000000000002,1,1,5,2,2,2,-3,-2,0.0
0.21,-2,-3,-4,-5,-2,0,1,1,0.0
0.215,-1,0,2,5,-1,1,-8,0,0.0
0.22,-2,-3,-3,-3,-1,-8,4,0,0.0
0.225,2,-1,0,-1,-1,4,5,-2,0.0
0.23,-3,-1,-3,-6,-3,-1,-5,-2,0.0
0.23500000000000001,-2,-3,-8,-5,-5,-9,0,-3,0.0
0.24,1,-1,2,-1,-2,3,8,2,0.0
0.245,-2,-3,-2,-1,7,5,-5,-3,0.0
0.25,1,2,2,4,-8,-14,-11,0,0.0
0.255,-1,-2,-2,-6,-1,8,8,2,0.0
0.26,-5,-4,-5,1,-3,-1,-7,-5,0.0
0.265,-2,0,0,-5,-1,2,-2,0,0.0
0.27,-3,-3,-6,-17,-4,4,-5,-5,0.0
0.275,0,2,7,14,-3,-27,-2,4,0.0
0.28,1,1,6,4,6,7,4,3,0.0
0.28500000000000003,-3,0,-3,7,2,-1,-10,-6,0.0
0.29,1,0,-2,-7,-4,0,40,7,0.0
0.295,-1,-2,-4,-10,-3,-8,-12,-3,0.0
0.3,1,-3,-6,-10,2,10,2,1,0.0
0.305,2,0,-4,0,-12,-15,0,1,0.0
0.31,-1,0,7,2,2,-3,-19,-2,0.0
0.315,-3,-2,-4,4,5,7,13,-1,0.0
0.32,0,1,2,-3,-5,-3,-28,-3,0.0
0.325,-2,0,2,6,3,6,7,-1,0.0
0.33,-4,-4,-8,-7,-3,0,4,-3,0.0
0.335,-2,-2,-4,-12,-7,-2,-6,-4,0.0
0.34,-1,1,0,5,3,4,1,-2,0.0
0.34500000000000003,1,-2,-6,-14,-2,2,9,4,0.0
0.35000000000000003,0,2,6,18,3,-4,-8,-2,0.0
0.355,0,-1,-1,-8,-3,2,4,3,0.0
0.36,-2,-2,-1,4,0,-3,-2,-4,0.0
0.365,0,-1,2,1,-1,-1,-5,0,0.0
0.37,-3,-3,-11,-7,3,-3,-15,-4,0.0
0.375,0,5,14,2,-6,-12,34,5,0.0
0.38,2,2,-3,-6,-1,-2,-6,1,0.0
0.385,-4,-3,-3,-5,-4,-5,1,-4,0.0
0.39,2,2,2,6,0,-6,-15,3,0.0
0.395,-2,-2,-2,3,3,-1,-16,-3,0.0
0.4,-1,1,3,3,0,1,-3,-2,0.0
0.405,0,-2,-4,-4,4,4,8,1,0.0
0.41000000000000003,1,-1,-2,0,-4,-1,-2,-1,0.0
0.41500000000000004,-1,-2,-3,1,2,9,-11,-5,0.0
0.42,1,2,5,2,0,-2,-5,0,0.0
0.425,-3,-1,-3,-6,2,3,5,1,0.0
0.43,-2,-3,-3,0,2,2,-4,-4,0.0
0.435,0,1,3,8,2,-1,-5,-1,0.0
0.44,-2,-1,-1,-2,-1,-5,3,0,0.0
0.445,3,0,-2,-3,-3,-5,-5,0,0.0
0.45,-2,-3,-6,-8,-3,2,7,-1,0.0
0.455,-3,-2,-4,-5,-3,-4,-2,-2,0.0
0.46,0,1,3,0,3,3,2,2,0.0
0.465,-4,-2,0,5,-6,-8,-7,-4,0.0
0.47000000000000003,0,-3,-1,0,0,7,11,1,0.0
0.47500000000000003,0,-2,-4,-5,-3,-4,-9,-3,0.0
0.48,-6,-3,-4,-3,-1,2,1,-4,0.0
0.485,0,-2,-1,-2,-2,-1,0,0,0.0
0.49,0,2,1,0,-4,-1,-4,-3,0.0
0.495,0,-3,1,2,1,3,-1,-2,0.0
0.5,-2,-4,-5,-4,0,-2,1,-2,0.0
0.505,0,1,2,1,3,2,-1,0,0.0
0.51,0,1,1,2,-1,-2,5,8,0.0
0.515,-5,-2,0,-1,-3,-2,-4,-19,0.0
0.52,0,-2,-6,-8,-3,-4,6,23,0.0
0.525,-1,-5,-2,5,15,1,-7,-25,0.0
0.53,-9,-2,3,2,-16,-1,8,11,0.0
0.535,3,-1,-4,-8,-5,-5,-5,-21,0.0
0.54,4,6,2,4,3,5,-12,-2,0.0
0.545,6,-3,-10,-21,-51,-21,6,20,0.0
0.55,-12,-4,-5,0,22,-6,9,-26,0.0
0.555,-1,1,6,17,47,11,3,41,0.0
0.56,2,3,5,14,39,2,-18,-37,0.0
0.5650000000000001,-8,0,-4,-29,-65,-4,18,-15,0.0
0.5700000000000001,-9,-5,3,-1,2,-11,-24,25,0.0
0.5750000000000001,1,-8,-10,-11,-47,-9,22,-15,0.0
0.58,-11,-6,-8,-15,-10,-2,-14,-12,0.0
0.585,-4,1,5,15,6,4,5,-10,0.0
0.59,12,4,0,-9,-10,-5,-4,-15,0.0
0.595,-5,0,3,10,28,2,-14,-7,0.0
0.6,8,1,4,20,29,4,13,22,0.0
0.605,-1,1,5,11,23,4,-7,5,0.0
0.61,-5,-4,-5,-4,-28,-1,-4,-22,0.0
0.615,8,2,2,6,11,-4,-4,22,0.0
0.62,-10,-7,-12,-22,-15,-6,3,-23,0.0
0.625,2,2,0,-5,28,2,-3,24,0.0
0.63,-9,-6,-3,-4,-20,-3,-10,-17,0.0
0.635,2,3,0,5,21,6,0,1,0.0
0.64,-3,-2,-3,-2,8,-8,5,4,0.0
0.645,0,0,10,25,48,11,-6,-4,0.0
0.65,6,-1,-6,-22,-55,-12,0,6,0.0
0.655,-3,-4,-4,-12,-16,3,4,5,0.0
0.66,-7,-3,-2,-6,-37,-7,-3,-17,0.0
0.665,-2,-4,-10,-1,19,1,-6,1,0.0
0.67,3,0,2,14,23,3,2,0,0.0
0.675,-3,0,3,5,9,2,-1,3,0.0
0.68,3,0,-3,-17,-36,-5,1,5,0.0
0.685,1,1,2,2,-16,-16,-8,-1,0.0
0.6900000000000001,0,3,4,15,35,12,7,2,0.0
0.6950000000000001,-2,-4,-10,-11,-29,-4,-7,-4,0.0
0.7000000000000001,0,0,3,6,-10,5,5,6,0.0
0.705,-2,-1,-4,-15,-29,-8,-5,-9,0.0
0.71,0,0,-3,2,40,6,3,6,0.0
0.715,0,-1,-3,-5,-13,-1,-2,-1,0.0
0.72,2,0,1,2,7,1,1,1,0.0
0.725,0,-1,2,6,22,3,1,6,0.0
0.73,3,-2,2,10,-2,2,0,0,0.0
0.735,-1,0,-3,-14,-16,-4,1,-3,0.0
0.74,-2,0,0,-5,-27,-8,-1,-2,0.0
0.745,-3,-7,-5,6,29,2,-5,-6,0.0
0.75,4,1,3,2,16,1,2,5,0.0
0.755,-4,-1,-2,-6,-16,-5,-11,-9,0.0
0.76,1,0,0,-1,1,-2,4,6,0.0
0.765,-1,1,3,-4,-15,-1,-2,-3,0.0
0.77,-3,-3,-2,2,13,-4,0,-8,0.0
0.775,-1,-2,-4,-14,-66,0,-1,2,0.0
0.78,-1,-4,-2,11,37,3,0,0,0.0
0.785,-2,-2,-2,-6,-4,-1,-5,-3,0.0
0.79,-2,-4,-4,-5,-33,0,2,5,0.0
0.795,1,4,4,10,40,2,2,-2,0.0
0.8,0,-4,-7,-6,-9,10,-2,0,0.0
0.805,-1,0,0,-7,-32,-9,-1,0,0.0
0.81,-1,1,1,3,11,3,0,1,0.0
0.8150000000000001,-1,-3,-3,3,49,-2,-4,-3,0.0
0.8200000000000001,-1,1,-1,-2,-21,1,0,-2,0.0
0.8250000000000001,-2,-2,-4,-2,-2,-2,-2,2,0.0
0.8300000000000001,2,1,3,-5,-2,0,3,2,0.0
0.835,0,-3,0,4,6,-2,-11,-3,0.0
0.84,1,0,3,1,5,-3,-1,4,0.0
0.845,-3,-4,-8,-5,19,9,-2,-4,0.0
0.85,-2,-1,-4,-4,-22,-9,-3,0,0.0
0.855,-1,-1,2,2,21,-1,2,-2,0.0
0.86,-1,-2,-6,-11,-28,-1,-1,-2,0.0
0.865,4,6,19,19,8,-2,-1,4,0.0
0.87,0,0,-2,6,45,6,2,1,0.0
0.875,-1,-4,-6,-12,-39,-8,-2,-4,0.0
0.88,-2,-1,0,3,34,1,1,0,0.0
0.885,-1,0,-4,-3,-25,9,-3,-4,0.0
0.89,0,-1,-2,-6,9,-4,-7,0,0.0
0.895,-1,0,3,9,18,2,5,-2,0.0
0.9,1,-3,-4,-11,-19,9,-1,0,0.0
0.905,-1,-2,-1,5,4,-19,2,2,0.0
0.91,-3,0,-2,-8,-15,-4,-1,-3,0.0
0.915,-2,0,-2,0,-2,-4,-4,-5,0.0
0.92,-3,-1,-4,-4,2,1,5,0,0.0
0.925,0,-1,0,1,1,1,0,-1,0.0
0.93,0,0,-2,-7,-17,-4,0,0,0.0
0.935,1,0,3,13,5,1,1,2,0.0
0.9400000000000001,-1,-2,1,4,-3,-15,-4,-1,0.0
0.9450000000000001,-1,-1,-5,-4,6,13,1,-1,0.0
0.9500000000000001,-1,-2,0,-1,-9,-21,-11,-2,0.0
0.9550000000000001,-2,0,0,1,-13,4,1,-2,0.0
0.96,-1,-1,-1,-5,-13,2,3,1,0.0
0.965,0,0,0,-2,-4,3,0,-2,0.0
0.97,-1,-1,-2,1,7,2,2,-2,0.0
0.975,0,0,-3,-1,16,4,2,2,0.0
0.98,-1,0,-2,-1,5,-3,-8,-3,0.0
0.985,-1,2,3,-4,-17,-32,-2,0,0.0
0.99,-1,-2,0,5,19,12,12,1,0.0
0.995,-1,-2,-5,-12,-9,-4,-10,-2,0.0
1.0,-3,-3,4,5,-17,-8,-5,-2,0.0
1.0050000000000001,1,-1,-3,-5,10,11,-2,-1,0.0
1.01,-1,-1,1,10,1,7,12,-4,0.0
1.0150000000000001,0,0,2,5,9,-11,-9,-3,0.0
1.02,-3,-5,-12,-15,-3,-7,-16,-7,0.0
1.025,1,1,11,14,-3,15,3,2,0.0
1.03,-1,-1,-3,-8,-7,-9,-10,1,0.0
